Guest logKexpt logKcalc Guest logKexpt logKcalc Guest logKexpt logKcalc
1 3.49 3.28 19 4.28 2.92 37 4.90 3.27
2 1.15 1.87 20 3.94 2.43 38 4.30 3.83
3 3.83 3.08 21 1.15 1.99 39 4.00 3.23
4 1.87 2.34 22 1.73 2.35 40 1.95 3.65
5 3.96 2.99 23 2.11 2.37 41 2.08 0.38
6 1.52 1.91 24 2.62 2.54 42 -1.00 -1.00
7 3.88 3.06 25 3.32 2.81 43 3.70 2.38
8 5.00 3.45 26 3.60 2.92 44 3.60 2.47
9 1.86 2.29 27 4.04 2.92 45 3.60 2.50
10 3.49 2.11 28 5.15 3.60 46 3.48 2.47
11 2.83 1.86 29 6.08 4.24 47 1.78 2.21
12 2.18 2.20 30 5.18 4.76 48 3.60 2.93
13 1.48 1.30 31 -1.00 3.69 49 2.41 2.21
14 4.30 2.52 32 -1.00 4.43 50 2.30 2.98
15 4.20 3.09 33 -1.00 2.05 51 0.48 1.96
16 4.88 3.63 34 -1.00 2.94 52 0.70 2.56
17 3.98 3.25 35 -1.00 2.67 53 0.90 2.12
18 5.26 3.16 36 4.30 3.34 54 0.70 2.67
